Philipps-MacBook-Pro:btc-liquidity philippbraun$ python main.py
BAT/ETH 	37.50 	209763.28
MANA/ETH 	39.99 	209803.26
FUN/ETH 	18.48 	209821.75
ZRX/ETH 	132.41 	209954.16
TNB/ETH 	88.28 	210042.43
SPANK/ETH 	71.45 	210113.89
TRX/ETH 	224.49 	210338.38
RCN/ETH 	35.04 	210373.42
RLC/ETH 	30.75 	210404.17
AID/ETH 	60.46 	210464.63
SNGLS/ETH 	12.74 	210477.37
REP/ETH 	34.59 	210511.97
ELF/ETH 	16.58 	210528.55
NEC/ETH 	129.23 	210657.78
ETH/EUR 	45.91 	210703.69
IOST/ETH 	89.44 	210793.13
AIO/ETH 	34.18 	210827.31
REQ/ETH 	8.55 	210835.85
RDN/ETH 	28.47 	210864.32
LRC/ETH 	19.64 	210883.96
WAX/ETH 	5.04 	210888.99
DAI/ETH 	98.36 	210987.35
CFI/ETH 	7.51 	210994.86
AGI/ETH 	17.45 	211012.31
BFT/ETH 	26.18 	211038.49
MTN/ETH 	2.45 	211040.94
ODE/ETH 	80.28 	211121.23
ANT/ETH 	18.79 	211140.01
DTH/ETH 	13.36 	211153.37
MIT/ETH 	5.63 	211159.00
STORJ/ETH 	8.13 	211167.13
MKR/ETH 	13.15 	211180.28
VEN/ETH 	80.01 	211260.30
KNC/ETH 	41.06 	211301.36
POA/ETH 	53.29 	211354.65
===> 	ethfinex 	211354.65
HBZ/ETH 	40.49 	40.49
BCH/ETH 	57.61 	98.10
ETH/BTC 	10879.09 	10977.19
ETH/LTC 	18.17 	10995.37
ETH/USD 	1.30 	10996.66
ETH/EUR 	0.67 	10997.33
ETH/RUB 	0.01 	10997.34
ETH/UAH 	0.00 	10997.35
ETH/PLN 	0.02 	10997.37
ETH/USDT 	0.05 	10997.42
KICK/ETH 	61.52 	11058.94
===> 	exmo 	11058.94
XWC/ETH 	54.16 	54.16
BOT/ETH 	2.57 	56.73
XUC/ETH 	0.58 	57.31
EOS/ETH 	22.67 	79.99
BTM/ETH 	11.30 	91.28
ETH/USDT 	0.16 	91.44
SEXC/ETH 	327.92 	419.36
EPC/ETH 	134.70 	554.06
TV/ETH 	0.47 	554.54
ETC/ETH 	4.09 	558.62
GRAM/ETH 	52.44 	611.06
BDK/ETH 	91.13 	702.19
ETH/BTC 	858.71 	1560.90
QTUM/ETH 	6.17 	1567.07
MCO/ETH 	1.51 	1568.58
ETH/QC 	0.00 	1568.59
BTS/ETH 	2.26 	1570.84
QASH/ETH 	2.47 	1573.32
QBT/ETH 	1.90 	1575.22
ENSA/ETH 	305.08 	1880.30
